Frame,Object,Object ID,Team,X1,Y1,X2,Y2,X_Pitch,Y_Pitch,X_MPLSoccer,Y_MPLSoccer
10,player,12,2,110,200,140,260,63.0,45.732,0.6,0.6725
10,ball,0,0,500,500,520,520,35.0,38.034,0.3333,0.5593
11,player,7,1,111,200,141,260,23.3,41.13,0.2219,0.6048
11,player,12,2,111,200,141,260,63.3,46.13,0.6029,0.6784
11,ball,0,0,500,500,520,520,35.5,37.651,0.3381,0.5537
12,player,7,1,112,200,142,260,23.6,41.456,0.2248,0.6097
12,player,12,2,112,200,142,260,63.6,46.456,0.6057,0.6832
12,ball,0,0,500,500,520,520,36.0,37.242,0.3429,0.5477
13,player,7,1,113,200,143,260,23.9,41.708,0.2276,0.6134
13,player,12,2,113,200,143,260,63.9,46.708,0.6086,0.6869
13,ball,0,0,500,500,520,520,36.5,36.81,0.3476,0.5413
14,player,7,1,114,200,144,260,24.2,41.884,0.2305,0.6159
14,player,12,2,114,200,144,260,64.2,46.884,0.6114,0.6895
14,ball,0,0,500,500,520,520,37.0,36.359,0.3524,0.5347
15,player,7,1,115,200,145,260,24.5,41.98,0.2333,0.6174
15,player,12,2,115,200,145,260,64.5,46.98,0.6143,0.6909
15,ball,0,0,500,500,520,520,37.5,35.892,0.3571,0.5278
16,player,7,1,116,200,146,260,24.8,41.997,0.2362,0.6176
16,player,12,2,116,200,146,260,64.8,46.997,0.6171,0.6911
16,ball,0,0,500,500,520,520,38.0,35.411,0.3619,0.5208
17,player,7,1,117,200,147,260,25.1,41.933,0.239,0.6167
17,player,12,2,117,200,147,260,65.1,46.933,0.62,0.6902
17,ball,0,0,500,500,520,520,38.5,34.921,0.3667,0.5135
18,player,7,1,118,200,148,260,25.4,41.791,0.2419,0.6146
18,player,12,2,118,200,148,260,65.4,46.791,0.6229,0.6881
18,ball,0,0,500,500,520,520,39.0,34.424,0.3714,0.5062
19,player,7,1,119,200,149,260,25.7,41.57,0.2448,0.6113
19,player,12,2,119,200,149,260,65.7,46.57,0.6257,0.6849
19,ball,0,0,500,500,520,520,39.5,33.925,0.3762,0.4989
20,player,7,1,120,200,150,260,26.0,41.274,0.2476,0.607
20,player,12,2,120,200,150,260,66.0,46.274,0.6286,0.6805
20,ball,0,0,500,500,520,520,40.0,33.426,0.381,0.4916
21,player,7,1,121,200,151,260,26.3,40.906,0.2505,0.6016
21,player,12,2,121,200,151,260,66.3,45.906,0.6314,0.6751
21,ball,0,0,500,500,520,520,40.5,32.931,0.3857,0.4843
22,player,7,1,122,200,152,260,26.6,40.468,0.2533,0.5951
22,player,12,2,122,200,152,260,66.6,45.468,0.6343,0.6686
22,ball,0,0,500,500,520,520,41.0,32.443,0.3905,0.4771
23,player,7,1,123,200,153,260,26.9,39.966,0.2562,0.5877
23,player,12,2,123,200,153,260,66.9,44.966,0.6371,0.6613
23,ball,0,0,500,500,520,520,41.5,31.966,0.3952,0.4701
24,player,7,1,124,200,154,260,27.2,39.404,0.259,0.5795
24,player,12,2,124,200,154,260,67.2,44.404,0.64,0.653
24,ball,0,0,500,500,520,520,42.0,31.503,0.4,0.4633
25,player,7,1,125,200,155,260,27.5,38.788,0.2619,0.5704
25,player,12,2,125,200,155,260,67.5,43.788,0.6429,0.6439
25,ball,0,0,500,500,520,520,42.5,31.058,0.4048,0.4567
26,player,7,1,126,200,156,260,27.8,38.124,0.2648,0.5606
26,player,12,2,126,200,156,260,67.8,43.124,0.6457,0.6342
26,ball,0,0,500,500,520,520,43.0,30.633,0.4095,0.4505
27,player,7,1,127,200,157,260,28.1,37.419,0.2676,0.5503
27,player,12,2,127,200,157,260,68.1,42.419,0.6486,0.6238
27,ball,0,0,500,500,520,520,43.5,30.231,0.4143,0.4446
28,player,7,1,128,200,158,260,28.4,36.68,0.2705,0.5394
28,player,12,2,128,200,158,260,68.4,41.68,0.6514,0.6129
28,ball,0,0,500,500,520,520,44.0,29.855,0.419,0.4391
29,player,7,1,129,200,159,260,28.7,35.914,0.2733,0.5281
29,player,12,2,129,200,159,260,68.7,40.914,0.6543,0.6017
29,ball,0,0,500,500,520,520,44.5,29.509,0.4238,0.434
30,player,7,1,130,200,160,260,29.0,35.129,0.2762,0.5166
30,player,12,2,130,200,160,260,69.0,40.129,0.6571,0.5901
30,ball,0,0,0,0,0,0,0,0,0,0
31,player,7,1,131,200,161,260,29.3,34.333,0.279,0.5049
31,player,12,2,131,200,161,260,69.3,39.333,0.66,0.5784
31,ball,0,0,0,0,0,0,0,0,0,0
32,player,7,1,132,200,162,260,29.6,33.533,0.2819,0.4931
32,player,12,2,132,200,162,260,69.6,38.533,0.6629,0.5667
32,ball,0,0,0,0,0,0,0,0,0,0
33,player,7,1,133,200,163,260,29.9,32.738,0.2848,0.4814
33,player,12,2,133,200,163,260,69.9,37.738,0.6657,0.555
33,ball,0,0,0,0,0,0,0,0,0,0
34,player,7,1,134,200,164,260,30.2,31.956,0.2876,0.4699
34,player,12,2,134,200,164,260,70.2,36.956,0.6686,0.5435
34,ball,0,0,0,0,0,0,0,0,0,0
35,player,7,1,135,200,165,260,30.5,31.194,0.2905,0.4587
35,player,12,2,135,200,165,260,70.5,36.194,0.6714,0.5323
35,ball,0,0,0,0,0,0,0,0,0,0
36,player,7,1,136,200,166,260,30.8,30.46,0.2933,0.4479
36,player,12,2,136,200,166,260,70.8,35.46,0.6743,0.5215
36,ball,0,0,0,0,0,0,0,0,0,0
37,player,7,1,137,200,167,260,31.1,29.761,0.2962,0.4377
37,player,12,2,137,200,167,260,71.1,34.761,0.6771,0.5112
37,ball,0,0,0,0,0,0,0,0,0,0
38,player,7,1,138,200,168,260,31.4,29.105,0.299,0.428
38,player,12,2,138,200,168,260,71.4,34.105,0.68,0.5015
38,ball,0,0,0,0,0,0,0,0,0,0
39,player,7,1,139,200,169,260,31.7,28.498,0.3019,0.4191
39,player,12,2,139,200,169,260,71.7,33.498,0.6829,0.4926
39,ball,0,0,500,500,520,520,49.5,28.035,0.4714,0.4123
40,player,7,1,140,200,170,260,32.0,27.946,0.3048,0.411
40,player,12,2,140,200,170,260,72.0,32.946,0.6857,0.4845
40,ball,0,0,500,500,520,520,50.0,28.11,0.4762,0.4134
41,player,7,1,141,200,171,260,32.3,27.454,0.3076,0.4037
41,player,12,2,141,200,171,260,72.3,32.454,0.6886,0.4773
41,ball,0,0,500,500,520,520,50.5,28.226,0.481,0.4151
42,player,7,1,142,200,172,260,32.6,27.027,0.3105,0.3975
42,player,12,2,142,200,172,260,72.6,32.027,0.6914,0.471
42,ball,0,0,500,500,520,520,51.0,28.381,0.4857,0.4174
43,player,7,1,143,200,173,260,32.9,26.671,0.3133,0.3922
43,player,12,2,143,200,173,260,72.9,31.671,0.6943,0.4657
43,ball,0,0,500,500,520,520,51.5,28.576,0.4905,0.4202
44,player,7,1,144,200,174,260,33.2,26.387,0.3162,0.388
44,player,12,2,144,200,174,260,73.2,31.387,0.6971,0.4616
44,ball,0,0,500,500,520,520,52.0,28.808,0.4952,0.4237
45,player,7,1,145,200,175,260,33.5,26.18,0.319,0.385
45,player,12,2,145,200,175,260,73.5,31.18,0.7,0.4585
45,ball,0,0,500,500,520,520,52.5,29.077,0.5,0.4276
46,player,7,1,146,200,176,260,33.8,26.05,0.3219,0.3831
46,player,12,2,146,200,176,260,73.8,31.05,0.7029,0.4566
46,ball,0,0,500,500,520,520,53.0,29.379,0.5048,0.432
47,player,7,1,147,200,177,260,34.1,26.001,0.3248,0.3824
47,player,12,2,147,200,177,260,74.1,31.001,0.7057,0.4559
47,ball,0,0,500,500,520,520,53.5,29.714,0.5095,0.437
48,player,7,1,148,200,178,260,34.4,26.031,0.3276,0.3828
48,player,12,2,148,200,178,260,74.4,31.031,0.7086,0.4563
48,ball,0,0,500,500,520,520,54.0,30.078,0.5143,0.4423
49,player,7,1,149,200,179,260,34.7,26.14,0.3305,0.3844
49,player,12,2,149,200,179,260,74.7,31.14,0.7114,0.4579
49,ball,0,0,500,500,520,520,54.5,30.47,0.519,0.4481
50,player,7,1,150,200,180,260,35.0,26.329,0.3333,0.3872
50,player,12,2,150,200,180,260,75.0,31.329,0.7143,0.4607
50,ball,0,0,500,500,520,520,70.0,30.886,0.6667,0.4542
51,player,7,1,151,200,181,260,35.3,26.593,0.3362,0.3911
51,player,12,2,151,200,181,260,75.3,31.593,0.7171,0.4646
51,ball,0,0,500,500,520,520,55.5,31.323,0.5286,0.4606
52,player,7,1,152,200,182,260,35.6,26.932,0.339,0.3961
52,player,12,2,152,200,182,260,75.6,31.932,0.72,0.4696
52,ball,0,0,500,500,520,520,56.0,31.78,0.5333,0.4673
53,player,7,1,153,200,183,260,35.9,27.342,0.3419,0.4021
53,player,12,2,153,200,183,260,75.9,32.342,0.7229,0.4756
53,ball,0,0,500,500,520,520,56.5,32.251,0.5381,0.4743
54,player,7,1,154,200,184,260,36.2,27.818,0.3448,0.4091
54,player,12,2,154,200,184,260,76.2,32.818,0.7257,0.4826
54,ball,0,0,500,500,520,520,57.0,32.735,0.5429,0.4814
55,player,7,1,155,200,185,260,36.5,28.356,0.3476,0.417
55,player,12,2,155,200,185,260,76.5,33.356,0.7286,0.4905
55,ball,0,0,500,500,520,520,57.5,33.228,0.5476,0.4886
56,player,7,1,156,200,186,260,36.8,28.95,0.3505,0.4257
56,player,12,2,156,200,186,260,76.8,33.95,0.7314,0.4993
56,ball,0,0,500,500,520,520,58.0,33.726,0.5524,0.496
57,player,7,1,157,200,187,260,37.1,29.595,0.3533,0.4352
57,player,12,2,157,200,187,260,77.1,34.595,0.7343,0.5087
57,ball,0,0,500,500,520,520,58.5,34.226,0.5571,0.5033
58,player,7,1,158,200,188,260,37.4,30.283,0.3562,0.4453
58,player,12,2,158,200,188,260,77.4,35.283,0.7371,0.5189
58,ball,0,0,500,500,520,520,59.0,34.724,0.5619,0.5106
59,player,7,1,159,200,189,260,37.7,31.009,0.359,0.456
59,player,12,2,159,200,189,260,77.7,36.009,0.74,0.5295
59,ball,0,0,500,500,520,520,59.5,35.217,0.5667,0.5179
60,player,7,1,160,200,190,260,38.0,31.765,0.3619,0.4671
60,player,12,2,160,200,190,260,78.0,36.765,0.7429,0.5407
60,ball,0,0,500,500,520,520,60.0,35.702,0.5714,0.525
61,player,7,1,161,200,191,260,38.3,32.543,0.3648,0.4786
61,player,12,2,161,200,191,260,78.3,37.543,0.7457,0.5521
61,ball,0,0,500,500,520,520,60.5,36.175,0.5762,0.532
62,player,7,1,162,200,192,260,38.6,33.335,0.3676,0.4902
62,player,12,2,162,200,192,260,78.6,38.335,0.7486,0.5638
62,ball,0,0,500,500,520,520,61.0,36.633,0.581,0.5387
63,player,7,1,163,200,193,260,38.9,34.135,0.3705,0.502
63,player,12,2,163,200,193,260,78.9,39.135,0.7514,0.5755
63,ball,0,0,500,500,520,520,61.5,37.073,0.5857,0.5452
64,player,7,1,164,200,194,260,39.2,34.932,0.3733,0.5137
64,player,12,2,164,200,194,260,79.2,39.932,0.7543,0.5872
64,ball,0,0,500,500,520,520,62.0,37.491,0.5905,0.5513
65,player,7,1,165,200,195,260,39.5,35.721,0.3762,0.5253
65,player,12,2,165,200,195,260,79.5,40.721,0.7571,0.5988
65,ball,0,0,500,500,520,520,62.5,37.885,0.5952,0.5571
66,player,7,1,166,200,196,260,39.8,36.492,0.379,0.5367
66,player,12,2,166,200,196,260,79.8,41.492,0.76,0.6102
66,ball,0,0,500,500,520,520,63.0,38.252,0.6,0.5625
67,player,7,1,167,200,197,260,40.1,37.239,0.3819,0.5476
67,player,12,2,167,200,197,260,80.1,42.239,0.7629,0.6212
67,ball,0,0,500,500,520,520,63.5,38.59,0.6048,0.5675
68,player,7,1,168,200,198,260,40.4,37.953,0.3848,0.5581
68,player,12,2,168,200,198,260,80.4,42.953,0.7657,0.6317
68,ball,0,0,500,500,520,520,64.0,38.895,0.6095,0.572
69,player,7,1,169,200,199,260,40.7,38.628,0.3876,0.5681
69,player,12,2,169,200,199,260,80.7,43.628,0.7686,0.6416
69,ball,0,0,500,500,520,520,64.5,39.167,0.6143,0.576
70,player,7,1,170,200,200,260,41.0,39.256,0.3905,0.5773
70,player,12,2,170,200,200,260,81.0,44.256,0.7714,0.6508
70,ball,0,0,500,500,520,520,65.0,39.403,0.619,0.5795
71,player,7,1,171,200,201,260,41.3,39.832,0.3933,0.5858
71,player,12,2,171,200,201,260,81.3,44.832,0.7743,0.6593
71,ball,0,0,500,500,520,520,65.5,39.601,0.6238,0.5824
72,player,7,1,172,200,202,260,41.6,40.349,0.3962,0.5934
72,player,12,2,172,200,202,260,81.6,45.349,0.7771,0.6669
72,ball,0,0,500,500,520,520,66.0,39.761,0.6286,0.5847
73,player,7,1,173,200,203,260,41.9,40.803,0.399,0.6001
73,player,12,2,173,200,203,260,81.9,45.803,0.78,0.6736
73,ball,0,0,500,500,520,520,66.5,39.881,0.6333,0.5865
74,player,7,1,174,200,204,260,42.2,41.19,0.4019,0.6057
74,player,12,2,174,200,204,260,82.2,46.19,0.7829,0.6793
74,ball,0,0,500,500,520,520,67.0,39.959,0.6381,0.5876
75,player,7,1,175,200,205,260,42.5,41.504,0.4048,0.6104
75,player,12,2,175,200,205,260,82.5,46.504,0.7857,0.6839
75,ball,0,0,500,500,520,520,67.5,39.997,0.6429,0.5882
76,player,7,1,176,200,206,260,42.8,41.743,0.4076,0.6139
76,player,12,2,176,200,206,260,82.8,46.743,0.7886,0.6874
76,ball,0,0,500,500,520,520,68.0,39.992,0.6476,0.5881
77,player,7,1,177,200,207,260,43.1,41.905,0.4105,0.6163
77,player,12,2,177,200,207,260,83.1,46.905,0.7914,0.6898
77,ball,0,0,500,500,520,520,68.5,39.947,0.6524,0.5875
78,player,7,1,178,200,208,260,43.4,41.988,0.4133,0.6175
78,player,12,2,178,200,208,260,83.4,46.988,0.7943,0.691
78,ball,0,0,500,500,520,520,69.0,39.86,0.6571,0.5862
79,player,7,1,179,200,209,260,43.7,41.992,0.4162,0.6175
79,player,12,2,179,200,209,260,83.7,46.992,0.7971,0.6911
79,ball,0,0,500,500,520,520,69.5,39.732,0.6619,0.5843
80,player,7,1,180,200,210,260,44.0,41.915,0.419,0.6164
80,player,12,2,180,200,210,260,84.0,46.915,0.8,0.6899
80,ball,0,0,500,500,520,520,70.0,39.564,0.6667,0.5818
